Workload Section Power Util CPU_Power Memory_Power Network_Power Offloading_Ratio CPU_Frequency_1 CPU_Frequency_0.5 CPU_Frequency_0.25 CPU_Frequency_0.125
0.1 CO-DMO-CT 1.48 .11 .33 1.04 .09 .74 13.00 23.00 31.00 33.00 
0.1 CO-DMO 2.44 .14 .60 1.79 .04 .56 22.00 21.00 30.00 27.00 
0.1 Offloading 3.97 .02 2.05 1.86 .06 .66 100.00 0 0 0 
0.1 DVS 3.45 .29 1.33 2.12 0 0 10.00 20.00 31.00 39.00 
0.1 Baseline 5.85 .06 3.82 2.02 0 0 100.00 0 0 0 
0.2 CO-DMO-CT 2.99 .27 .70 2.00 .28 .80 11.00 19.00 37.00 33.00 
0.2 CO-DMO 3.69 .63 1.85 1.74 .10 .43 12.00 15.00 36.00 37.00 
0.2 Offloading 5.36 .06 3.90 1.27 .18 .67 100.00 0 0 0 
0.2 DVS 5.37 .98 3.40 1.97 0 0 5.00 14.00 36.00 45.00 
0.2 Baseline 11.26 .17 9.07 2.19 0 0 100.00 0 0 0 
0.3 CO-DMO-CT 3.21 .47 1.04 1.74 .42 .80 11.00 22.00 32.00 35.00 
0.3 CO-DMO 5.52 .97 2.74 2.62 .15 .46 12.00 13.00 38.00 37.00 
0.3 Offloading 9.84 .12 6.48 3.06 .29 .66 100.00 0 0 0 
0.3 DVS 10.87 1.00 8.50 2.36 0 0 17.00 35.00 39.00 9.00 
0.3 Baseline 17.30 .30 14.85 2.45 0 0 100.00 0 0 0 
0.4 CO-DMO-CT 3.99 .75 1.40 1.98 .60 .80 14.00 12.00 32.00 42.00 
0.4 CO-DMO 6.74 1.03 3.82 2.60 .31 .56 10.00 26.00 32.00 32.00 
0.4 Offloading 9.84 .13 7.03 2.40 .40 .72 100.00 0 0 0 
0.4 DVS 17.62 1.00 14.36 3.26 0 0 34.00 40.00 22.00 4.00 
0.4 Baseline 23.24 .44 20.90 2.34 0 0 100.00 0 0 0 
0.5 CO-DMO-CT 4.67 .87 2.26 1.50 .90 .79 14.00 19.00 34.00 33.00 
0.5 CO-DMO 7.02 1.05 4.71 1.88 .43 .63 21.00 22.00 31.00 26.00 
0.5 Offloading 12.11 .18 9.50 2.02 .57 .71 100.00 0 0 0 
0.5 DVS 25.00 .99 22.42 2.58 0 0 60.00 25.00 14.00 1.00 
0.5 Baseline 29.00 .58 27.02 1.97 0 0 100.00 0 0 0 
0.6 CO-DMO-CT 6.45 .82 2.97 2.37 1.10 .81 20.00 22.00 35.00 23.00 
0.6 CO-DMO 7.99 1.08 4.65 2.58 .76 .70 16.00 31.00 28.00 25.00 
0.6 Offloading 11.55 .16 8.55 2.22 .77 .80 100.00 0 0 0 
0.6 DVS 31.28 .99 27.79 3.48 0 0 67.00 26.00 7.00 0 
0.6 Baseline 32.71 .67 31.01 1.70 0 0 100.00 0 0 0 
0.7 CO-DMO-CT 5.78 .75 2.23 2.34 1.20 .88 16.00 25.00 27.00 32.00 
0.7 CO-DMO 11.25 1.09 6.97 3.50 .77 .66 27.00 22.00 33.00 18.00 
0.7 Offloading 19.12 .33 16.01 2.39 .70 .62 100.00 0 0 0 
0.7 DVS 38.70 1.00 35.64 3.06 0 0 81.00 18.00 0 1.00 
0.7 Baseline 40.19 .84 38.82 1.37 0 0 100.00 0 0 0 
0.8 CO-DMO-CT 8.58 .83 3.46 3.69 1.43 .87 23.00 30.00 31.00 16.00 
0.8 CO-DMO 14.84 1.07 11.79 2.18 .86 .61 34.00 33.00 25.00 8.00 
0.8 Offloading 16.74 .26 13.02 2.63 1.09 .79 100.00 0 0 0 
0.8 DVS 42.81 .99 38.84 3.97 0 0 88.00 10.00 2.00 0 
0.8 Baseline 47.15 .97 45.02 2.12 0 0 100.00 0 0 0 
0.9 CO-DMO-CT 14.54 .99 9.91 3.21 1.40 .70 37.00 26.00 27.00 10.00 
0.9 CO-DMO 13.92 1.10 9.77 2.98 1.15 .70 34.00 28.00 22.00 16.00 
0.9 Offloading 20.16 .34 16.69 2.47 .99 .73 100.00 0 0 0 
0.9 DVS 52.59 1.00 47.31 5.27 0 0 100.00 0 0 0 
0.9 Baseline 53.38 1.00 47.77 5.61 0 0 100.00 0 0 0 
