Workload Section Power Util CPU_Power Memory_Power Network_Power Offloading_Ratio CPU_Frequency_1 CPU_Frequency_0.5 CPU_Frequency_0.25 CPU_Frequency_0.125
0.1 CO-DMO-CT 2.57 .11 .27 2.21 .08 .75 8.00 20.00 39.00 33.00 
0.1 CO-DMO 2.21 .21 .73 1.44 .03 .39 10.00 22.00 29.00 39.00 
0.1 Offloading 4.40 .03 2.35 1.99 .04 .56 100.00 0 0 0 
0.1 DVS 3.32 .34 1.30 2.02 0 0 13.00 15.00 22.00 50.00 
0.1 Baseline 5.72 .06 3.77 1.95 0 0 100.00 0 0 0 
0.2 CO-DMO-CT 2.96 .31 .77 1.90 .28 .77 18.00 18.00 28.00 36.00 
0.2 CO-DMO 3.86 .57 1.81 1.93 .11 .52 11.00 20.00 32.00 37.00 
0.2 Offloading 6.16 .06 3.99 2.00 .16 .69 100.00 0 0 0 
0.2 DVS 6.20 .99 3.73 2.46 0 0 9.00 13.00 34.00 44.00 
0.2 Baseline 12.10 .19 9.61 2.49 0 0 100.00 0 0 0 
0.3 CO-DMO-CT 4.40 .38 .99 2.88 .52 .83 12.00 16.00 35.00 37.00 
0.3 CO-DMO 5.09 .98 2.75 2.15 .18 .47 11.00 13.00 39.00 37.00 
0.3 Offloading 7.09 .08 4.73 2.05 .30 .76 100.00 0 0 0 
0.3 DVS 10.88 1.00 8.38 2.50 0 0 15.00 34.00 43.00 8.00 
0.3 Baseline 17.26 .31 15.02 2.24 0 0 100.00 0 0 0 
0.4 CO-DMO-CT 4.47 .81 2.28 1.62 .56 .71 13.00 15.00 32.00 40.00 
0.4 CO-DMO 6.19 1.03 3.71 2.20 .27 .55 12.00 25.00 34.00 29.00 
0.4 Offloading 10.08 .15 7.72 1.87 .48 .71 100.00 0 0 0 
0.4 DVS 18.18 .99 15.56 2.61 0 0 41.00 35.00 20.00 4.00 
0.4 Baseline 23.01 .43 20.46 2.55 0 0 100.00 0 0 0 
0.5 CO-DMO-CT 4.93 .72 2.07 2.09 .76 .81 13.00 18.00 40.00 29.00 
0.5 CO-DMO 6.85 1.06 3.90 2.48 .45 .65 8.00 17.00 41.00 34.00 
0.5 Offloading 13.82 .21 10.69 2.64 .48 .64 100.00 0 0 0 
0.5 DVS 24.20 .99 20.92 3.27 0 0 52.00 30.00 18.00 0 
0.5 Baseline 27.92 .55 25.71 2.20 0 0 100.00 0 0 0 
0.6 CO-DMO-CT 5.25 .87 2.55 1.68 1.01 .81 17.00 23.00 30.00 30.00 
0.6 CO-DMO 9.05 1.08 5.90 2.47 .68 .63 14.00 33.00 30.00 23.00 
0.6 Offloading 12.74 .19 9.84 2.29 .59 .73 100.00 0 0 0 
0.6 DVS 30.46 .99 27.09 3.36 0 0 62.00 32.00 6.00 0 
0.6 Baseline 34.31 .69 32.13 2.18 0 0 100.00 0 0 0 
0.7 CO-DMO-CT 7.06 .95 3.51 2.34 1.20 .81 16.00 25.00 35.00 24.00 
0.7 CO-DMO 8.92 1.08 5.63 2.52 .75 .72 31.00 19.00 27.00 23.00 
0.7 Offloading 14.56 .22 11.24 2.50 .81 .74 100.00 0 0 0 
0.7 DVS 36.85 .99 33.46 3.38 0 0 78.00 19.00 3.00 0 
0.7 Baseline 39.71 .83 38.21 1.50 0 0 100.00 0 0 0 
0.8 CO-DMO-CT 10.32 .81 4.47 4.26 1.57 .82 12.00 30.00 36.00 22.00 
0.8 CO-DMO 10.10 1.11 5.89 3.17 1.03 .75 27.00 21.00 33.00 19.00 
0.8 Offloading 15.69 .26 12.94 1.78 .96 .74 100.00 0 0 0 
0.8 DVS 45.67 .99 42.44 3.22 0 0 94.00 5.00 1.00 0 
0.8 Baseline 45.86 .94 43.64 2.21 0 0 100.00 0 0 0 
0.9 CO-DMO-CT 15.24 .94 10.78 3.28 1.18 .71 39.00 23.00 27.00 11.00 
0.9 CO-DMO 16.23 1.06 12.13 3.20 .90 .65 42.00 26.00 22.00 10.00 
0.9 Offloading 20.29 .31 15.62 3.57 1.09 .74 100.00 0 0 0 
0.9 DVS 49.46 .99 45.28 4.18 0 0 97.00 3.00 0 0 
0.9 Baseline 51.26 .99 47.02 4.24 0 0 100.00 0 0 0 
