Workload Section Power Util CPU_Power Memory_Power Network_Power Offloading_Ratio CPU_Frequency_1 CPU_Frequency_0.5 CPU_Frequency_0.25 CPU_Frequency_0.125
0.1 CO-DMO-CT 3.36 .26 .85 1.48 1.02 .59 14.66 20.66 34.66 30.00 
0.1 CO-DMO 3.09 .30 .82 1.34 .92 .57 15.00 17.66 32.00 35.33 
0.1 Offloading 4.86 .02 2.26 1.21 1.38 .76 100.00 0 0 0 
0.1 DVS 3.51 .60 2.20 1.31 0 0 6.00 16.66 35.66 41.66 
0.1 Baseline 7.81 .11 6.11 1.69 0 0 100.00 0 0 0 
0.2 CO-DMO-CT 5.17 .71 1.81 1.54 1.82 .54 15.66 15.66 27.00 41.66 
0.2 CO-DMO 5.14 .63 1.73 1.42 1.98 .57 9.00 18.00 35.66 37.33 
0.2 Offloading 8.21 .05 3.40 1.73 3.07 .78 100.00 0 0 0 
0.2 DVS 6.96 1.00 5.32 1.64 0 0 9.33 23.66 43.00 24.00 
0.2 Baseline 13.36 .23 11.58 1.78 0 0 100.00 0 0 0 
0.3 CO-DMO-CT 7.14 .95 2.44 1.83 2.86 .59 12.00 16.66 32.00 39.33 
0.3 CO-DMO 6.89 .98 2.37 1.68 2.82 .58 12.66 15.00 33.66 38.66 
0.3 Offloading 11.11 .07 4.55 2.28 4.28 .78 100.00 0 0 0 
0.3 DVS 13.14 1.00 10.66 2.47 0 0 21.66 39.66 33.66 5.00 
0.3 Baseline 19.28 .37 17.62 1.65 0 0 100.00 0 0 0 
0.4 CO-DMO-CT 9.22 .94 2.95 1.92 4.33 .65 14.66 19.33 35.33 30.66 
0.4 CO-DMO 9.11 .96 2.81 1.82 4.47 .65 14.33 16.66 34.66 34.33 
0.4 Offloading 14.16 .11 6.24 2.04 5.87 .77 100.00 0 0 0 
0.4 DVS 19.30 .99 16.65 2.65 0 0 39.00 41.66 16.66 2.66 
0.4 Baseline 25.03 .50 23.60 1.42 0 0 100.00 0 0 0 
0.5 CO-DMO-CT 11.50 .98 3.24 1.79 6.46 .70 13.33 24.66 34.33 27.66 
0.5 CO-DMO 11.24 .97 3.26 1.99 5.98 .70 15.66 20.33 35.66 28.33 
0.5 Offloading 15.38 .11 6.30 1.79 7.28 .80 100.00 0 0 0 
0.5 DVS 26.32 .99 22.98 3.33 0 0 53.33 35.00 11.66 0 
0.5 Baseline 30.73 .62 29.01 1.72 0 0 100.00 0 0 0 
0.6 CO-DMO-CT 14.45 .99 4.19 2.30 7.95 .73 16.66 24.33 36.66 22.33 
0.6 CO-DMO 14.65 .98 4.25 2.02 8.37 .72 15.00 26.00 32.66 26.33 
0.6 Offloading 18.03 .11 6.36 2.28 9.38 .84 100.00 0 0 0 
0.6 DVS 33.12 .99 30.21 2.91 0 0 71.33 23.66 5.00 0 
0.6 Baseline 36.18 .74 34.49 1.68 0 0 100.00 0 0 0 
0.7 CO-DMO-CT 16.57 .96 4.38 2.76 9.42 .75 18.66 26.66 28.66 26.00 
0.7 CO-DMO 18.07 .95 4.83 2.40 10.82 .74 23.66 26.66 32.66 17.00 
0.7 Offloading 21.78 .16 8.58 2.30 10.89 .80 100.00 0 0 0 
0.7 DVS 39.94 .99 36.33 3.60 0 0 83.00 14.66 2.33 0 
0.7 Baseline 41.76 .87 40.15 1.61 0 0 100.00 0 0 0 
0.8 CO-DMO-CT 20.03 .98 6.44 2.77 10.82 .72 29.00 25.00 26.00 20.00 
0.8 CO-DMO 24.04 .70 6.40 4.39 13.25 .77 48.33 25.66 16.00 10.00 
0.8 Offloading 25.06 .19 9.82 2.20 13.03 .81 100.00 0 0 0 
0.8 DVS 46.86 .99 43.00 3.86 0 0 93.33 6.33 .33 0 
0.8 Baseline 47.89 .99 46.01 1.88 0 0 100.00 0 0 0 
0.9 CO-DMO-CT 31.08 .48 11.33 5.29 14.45 .73 72.66 11.33 8.66 7.33 
0.9 CO-DMO 23.77 .92 7.76 3.05 12.96 .72 28.33 33.66 20.00 18.00 
0.9 Offloading 27.22 .19 10.01 2.17 15.03 .82 100.00 0 0 0 
0.9 DVS 53.97 .99 48.16 5.81 0 0 100.00 0 0 0 
0.9 Baseline 55.30 .99 48.62 6.67 0 0 100.00 0 0 0 
