Workload Section Power Util CPU_Power Memory_Power Network_Power Offloading_Ratio CPU_Frequency_1 CPU_Frequency_0.5 CPU_Frequency_0.25 CPU_Frequency_0.125
0.1 CO-DMO-CT 1.89 .17 .41 1.31 .16 .77 12.66 18.00 30.66 38.66 
0.1 CO-DMO 2.22 .17 .49 1.58 .14 .74 13.00 22.00 33.66 31.33 
0.1 Offloading 3.57 .02 1.99 1.42 .14 .80 100.00 0 0 0 
0.1 DVS 3.70 .58 2.20 1.50 0 0 6.33 19.00 34.00 40.66 
0.1 Baseline 7.59 .11 6.01 1.57 0 0 100.00 0 0 0 
0.2 CO-DMO-CT 2.80 .38 .85 1.60 .34 .76 12.33 19.00 34.66 34.00 
0.2 CO-DMO 2.78 .27 .78 1.64 .35 .80 15.66 20.00 31.33 33.00 
0.2 Offloading 4.79 .03 2.61 1.79 .38 .86 100.00 0 0 0 
0.2 DVS 6.87 1.00 5.25 1.62 0 0 6.33 24.66 46.33 22.66 
0.2 Baseline 13.52 .24 11.86 1.65 0 0 100.00 0 0 0 
0.3 CO-DMO-CT 3.33 .52 1.27 1.53 .52 .77 14.33 18.66 29.00 38.00 
0.3 CO-DMO 3.33 .50 1.11 1.68 .53 .80 14.00 19.00 32.66 34.33 
0.3 Offloading 6.03 .05 3.52 1.87 .63 .85 100.00 0 0 0 
0.3 DVS 12.66 1.00 10.47 2.19 0 0 20.66 41.00 32.00 6.33 
0.3 Baseline 18.97 .36 17.41 1.56 0 0 100.00 0 0 0 
0.4 CO-DMO-CT 4.01 .60 1.31 1.90 .79 .82 17.00 17.66 30.00 35.33 
0.4 CO-DMO 3.87 .54 1.25 1.84 .77 .83 14.33 21.33 31.00 33.33 
0.4 Offloading 7.32 .07 4.31 2.25 .74 .85 100.00 0 0 0 
0.4 DVS 19.62 .99 17.09 2.53 0 0 37.33 41.00 21.33 .33 
0.4 Baseline 24.13 .47 22.49 1.63 0 0 100.00 0 0 0 
0.5 CO-DMO-CT 4.58 .78 1.64 1.98 .95 .82 16.66 19.00 29.00 35.33 
0.5 CO-DMO 4.44 .70 1.81 1.76 .86 .81 12.00 20.33 31.33 36.33 
0.5 Offloading 8.58 .09 5.26 2.24 1.07 .84 100.00 0 0 0 
0.5 DVS 25.70 1.00 22.92 2.78 0 0 57.00 30.33 12.00 .66 
0.5 Baseline 30.37 .61 28.71 1.66 0 0 100.00 0 0 0 
0.6 CO-DMO-CT 5.26 .82 1.73 2.30 1.22 .85 14.33 18.66 28.00 39.00 
0.6 CO-DMO 4.99 .69 1.74 2.13 1.11 .84 17.00 27.66 27.66 27.66 
0.6 Offloading 9.04 .09 5.44 2.39 1.20 .87 100.00 0 0 0 
0.6 DVS 33.42 1.00 30.28 3.14 0 0 72.33 22.33 5.33 0 
0.6 Baseline 36.45 .75 34.68 1.77 0 0 100.00 0 0 0 
0.7 CO-DMO-CT 6.47 .67 2.47 2.59 1.40 .85 20.00 25.33 31.00 23.66 
0.7 CO-DMO 6.53 .73 2.60 2.44 1.48 .84 17.66 21.33 32.33 28.66 
0.7 Offloading 10.46 .11 6.23 2.73 1.48 .87 100.00 0 0 0 
0.7 DVS 40.68 .99 36.96 3.72 0 0 83.33 15.33 1.00 .33 
0.7 Baseline 42.23 .88 40.60 1.63 0 0 100.00 0 0 0 
0.8 CO-DMO-CT 9.01 .87 4.43 3.11 1.46 .80 25.33 25.00 26.66 23.00 
0.8 CO-DMO 8.26 .87 3.78 3.02 1.45 .81 19.00 29.66 30.66 20.66 
0.8 Offloading 10.93 .12 6.85 2.49 1.58 .86 100.00 0 0 0 
0.8 DVS 46.88 .99 43.05 3.82 0 0 93.00 7.00 0 0 
0.8 Baseline 47.74 .99 45.68 2.06 0 0 100.00 0 0 0 
0.9 CO-DMO-CT 13.46 .95 8.92 3.08 1.44 .72 33.33 23.66 24.33 18.66 
0.9 CO-DMO 13.94 .98 8.94 3.36 1.63 .71 28.66 27.00 26.66 17.66 
0.9 Offloading 12.20 .14 7.72 2.72 1.74 .87 100.00 0 0 0 
0.9 DVS 54.11 1.00 48.31 5.79 0 0 100.00 0 0 0 
0.9 Baseline 54.54 .99 48.39 6.14 0 0 100.00 0 0 0 
