Workload Section Power Util CPU_Power Memory_Power Network_Power Offloading_Ratio CPU_Frequency_1 CPU_Frequency_0.5 CPU_Frequency_0.25 CPU_Frequency_0.125
0.1 CO-DMO-CT 3.24 .29 .88 1.42 .93 .57 18.20 16.00 30.20 35.60 
0.1 CO-DMO 2.87 .27 .82 1.11 .93 .57 13.60 19.40 33.40 33.60 
0.1 Offloading 4.97 .02 2.29 1.29 1.37 .74 100.00 0 0 0 
0.1 DVS 3.49 .62 2.18 1.31 0 0 7.20 14.40 31.80 46.60 
0.1 Baseline 7.64 .11 6.09 1.55 0 0 100.00 0 0 0 
0.2 CO-DMO-CT 5.22 .66 1.67 1.65 1.88 .55 13.40 14.60 32.40 39.60 
0.2 CO-DMO 4.99 .59 1.50 1.49 1.99 .59 14.20 16.00 30.60 39.20 
0.2 Offloading 8.12 .05 3.52 1.63 2.95 .76 100.00 0 0 0 
0.2 DVS 6.89 .99 5.32 1.57 0 0 8.20 23.80 44.40 23.60 
0.2 Baseline 13.26 .23 11.65 1.61 0 0 100.00 0 0 0 
0.3 CO-DMO-CT 7.07 .94 2.41 1.79 2.86 .58 14.20 16.80 32.80 36.20 
0.3 CO-DMO 6.79 .86 2.08 1.52 3.18 .62 12.40 17.40 32.20 38.00 
0.3 Offloading 10.97 .07 4.53 1.84 4.58 .78 100.00 0 0 0 
0.3 DVS 12.77 .99 10.64 2.13 0 0 22.00 39.00 33.40 5.60 
0.3 Baseline 18.81 .36 17.38 1.43 0 0 100.00 0 0 0 
0.4 CO-DMO-CT 9.02 .97 2.81 1.83 4.36 .66 12.60 20.00 29.80 37.60 
0.4 CO-DMO 9.41 .96 3.01 1.92 4.47 .64 13.20 20.40 34.40 32.00 
0.4 Offloading 13.97 .10 5.74 2.08 6.14 .79 100.00 0 0 0 
0.4 DVS 19.37 .99 16.62 2.74 0 0 39.20 37.20 22.80 .80 
0.4 Baseline 24.41 .48 22.71 1.70 0 0 100.00 0 0 0 
0.5 CO-DMO-CT 11.57 .98 3.27 2.04 6.25 .70 15.80 22.40 31.60 30.20 
0.5 CO-DMO 11.82 .99 3.60 1.90 6.31 .69 15.80 21.00 36.80 26.40 
0.5 Offloading 16.27 .12 6.48 2.04 7.74 .80 100.00 0 0 0 
0.5 DVS 25.99 .99 23.09 2.90 0 0 57.60 28.60 13.60 .20 
0.5 Baseline 29.71 .60 28.13 1.57 0 0 100.00 0 0 0 
0.6 CO-DMO-CT 13.92 .94 3.57 2.15 8.20 .74 14.80 27.20 30.20 27.80 
0.6 CO-DMO 13.72 .98 3.66 2.07 7.98 .73 17.40 23.80 33.80 25.00 
0.6 Offloading 19.46 .14 7.76 2.26 9.43 .79 100.00 0 0 0 
0.6 DVS 32.82 .99 29.28 3.53 0 0 68.40 25.80 5.80 0 
0.6 Baseline 35.91 .74 34.35 1.56 0 0 100.00 0 0 0 
0.7 CO-DMO-CT 17.16 .97 4.65 2.54 9.97 .75 21.40 26.00 29.00 23.60 
0.7 CO-DMO 17.15 .94 4.93 2.56 9.65 .73 17.20 29.60 30.00 23.20 
0.7 Offloading 21.55 .16 8.47 1.95 11.13 .81 100.00 0 0 0 
0.7 DVS 39.85 1.00 36.04 3.81 0 0 82.20 15.60 2.20 0 
0.7 Baseline 41.69 .87 40.10 1.59 0 0 100.00 0 0 0 
0.8 CO-DMO-CT 19.43 .97 5.37 2.88 11.18 .75 27.40 25.20 27.00 20.40 
0.8 CO-DMO 19.40 .99 5.32 2.85 11.23 .76 23.40 29.00 27.00 20.60 
0.8 Offloading 25.90 .19 9.63 3.02 13.25 .80 100.00 0 0 0 
0.8 DVS 47.80 .99 44.16 3.64 0 0 95.20 4.60 .20 0 
0.8 Baseline 46.77 .98 45.19 1.58 0 0 100.00 0 0 0 
0.9 CO-DMO-CT 30.42 .70 10.94 4.57 14.90 .72 60.40 17.80 14.40 7.40 
0.9 CO-DMO 24.62 .95 7.62 2.79 14.20 .74 32.80 25.80 24.20 17.20 
0.9 Offloading 30.29 .16 8.24 4.87 17.17 .85 100.00 0 0 0 
0.9 DVS 53.97 .99 48.09 5.88 0 0 100.00 0 0 0 
0.9 Baseline 54.92 .99 48.50 6.42 0 0 100.00 0 0 0 
