Workload Section Power Util CPU_Power Memory_Power Network_Power Offloading_Ratio CPU_Frequency_1 CPU_Frequency_0.5 CPU_Frequency_0.25 CPU_Frequency_0.125
0.2 CO-DMO-CT 3.07 .23 .71 1.63 .73 .68 14.60 20.40 32.80 32.20 
0.2 CO-DMO 3.24 .19 .53 1.92 .78 .74 14.00 19.80 31.20 35.00 
0.2 Offloading 5.13 .03 2.38 1.95 .79 .74 100.00 0 0 0 
0.2 DVS 5.53 .65 2.50 3.02 0 0 8.40 17.00 32.80 41.80 
0.2 Baseline 9.67 .12 6.61 3.05 0 0 100.00 0 0 0 
0.3 CO-DMO-CT 4.46 .37 .89 1.91 1.65 .76 14.00 20.80 31.40 33.80 
0.3 CO-DMO 4.45 .41 .90 1.91 1.63 .76 14.60 20.00 30.80 34.60 
0.3 Offloading 6.86 .04 2.97 2.09 1.79 .82 100.00 0 0 0 
0.3 DVS 8.88 .99 5.62 3.25 0 0 7.80 27.20 44.00 21.00 
0.3 Baseline 15.22 .24 12.18 3.04 0 0 100.00 0 0 0 
0.4 CO-DMO-CT 6.13 .59 1.31 2.35 2.45 .75 15.20 19.40 28.20 37.20 
0.4 CO-DMO 6.54 .70 1.55 2.74 2.24 .70 14.40 18.60 27.80 39.20 
0.4 Offloading 8.41 .05 3.38 2.27 2.75 .85 100.00 0 0 0 
0.4 DVS 15.08 .99 11.00 4.08 0 0 23.00 39.20 31.80 6.00 
0.4 Baseline 21.85 .36 17.75 4.10 0 0 100.00 0 0 0 
0.5 CO-DMO-CT 7.35 .73 1.76 2.34 3.23 .77 15.20 17.00 30.80 37.00 
0.5 CO-DMO 7.10 .73 1.62 2.14 3.33 .78 14.60 21.00 28.40 36.00 
0.5 Offloading 10.58 .07 4.47 2.50 3.60 .84 100.00 0 0 0 
0.5 DVS 21.05 .99 17.78 3.27 0 0 44.20 35.40 19.00 1.40 
0.5 Baseline 26.55 .49 23.49 3.06 0 0 100.00 0 0 0 
0.6 CO-DMO-CT 9.30 .86 2.17 2.89 4.23 .77 16.00 22.20 25.60 36.20 
0.6 CO-DMO 8.26 .74 1.73 2.23 4.30 .80 18.00 19.20 28.40 34.40 
0.6 Offloading 12.40 .09 5.20 2.64 4.55 .84 100.00 0 0 0 
0.6 DVS 28.00 .99 24.20 3.80 0 0 60.20 29.20 10.20 .40 
0.6 Baseline 32.43 .62 29.25 3.18 0 0 100.00 0 0 0 
0.7 CO-DMO-CT 10.12 .82 2.47 2.61 5.03 .80 18.40 22.20 30.60 28.80 
0.7 CO-DMO 10.75 .80 2.40 3.21 5.12 .80 16.60 19.40 33.60 30.40 
0.7 Offloading 14.01 .10 5.72 2.79 5.49 .86 100.00 0 0 0 
0.7 DVS 34.61 .99 30.98 3.62 0 0 75.00 19.60 5.40 0 
0.7 Baseline 37.44 .73 34.39 3.05 0 0 100.00 0 0 0 
0.8 CO-DMO-CT 12.71 .87 3.70 2.94 6.06 .78 21.20 28.80 27.20 22.80 
0.8 CO-DMO 11.37 .88 2.78 2.66 5.92 .81 21.60 22.40 29.20 26.80 
0.8 Offloading 16.00 .12 6.56 2.92 6.51 .86 100.00 0 0 0 
0.8 DVS 42.00 .99 37.69 4.31 0 0 84.60 14.60 .80 0 
0.8 Baseline 44.18 .86 40.12 4.06 0 0 100.00 0 0 0 
0.9 CO-DMO-CT 14.68 .87 4.00 3.42 7.25 .81 27.00 28.20 25.40 19.40 
0.9 CO-DMO 14.07 .85 3.75 3.40 6.91 .81 21.80 26.00 30.20 22.00 
0.9 Offloading 17.34 .12 6.89 3.08 7.36 .86 100.00 0 0 0 
0.9 DVS 49.73 .99 44.77 4.95 0 0 96.00 4.00 0 0 
0.9 Baseline 48.56 .97 45.34 3.21 0 0 100.00 0 0 0 
1.0 CO-DMO-CT 18.78 .93 7.82 3.40 7.55 .74 31.80 26.40 23.00 18.80 
1.0 CO-DMO 18.57 .95 8.23 3.39 6.94 .73 35.40 25.60 24.20 14.80 
1.0 Offloading 19.68 .16 8.41 2.99 8.27 .85 100.00 0 0 0 
1.0 DVS 59.26 1.00 49.54 9.71 0 0 100.00 0 0 0 
1.0 Baseline 58.11 1.00 48.94 9.17 0 0 100.00 0 0 0 
1.1 CO-DMO-CT 32.07 .98 21.62 4.40 6.05 .55 64.60 16.60 13.00 5.80 
1.1 CO-DMO 27.91 .92 16.59 4.73 6.58 .61 51.00 23.00 17.40 8.60 
1.1 Offloading 21.58 .17 8.91 3.60 9.06 .85 100.00 0 0 0 
1.1 DVS 64.58 1.12 54.69 9.89 0 0 100.00 0 0 0 
1.1 Baseline 64.87 1.12 54.85 10.02 0 0 100.00 0 0 0 
1.2 CO-DMO-CT 42.22 .95 32.40 4.77 5.04 .43 79.60 11.40 6.40 2.60 
1.2 CO-DMO 39.66 .95 28.96 4.70 5.99 .49 78.00 10.00 7.00 5.00 
1.2 Offloading 23.62 .20 10.48 3.37 9.76 .83 100.00 0 0 0 
1.2 DVS 69.58 1.21 59.86 9.72 0 0 100.00 0 0 0 
1.2 Baseline 68.99 1.19 58.97 10.01 0 0 100.00 0 0 0 
