Workload Section Power Util CPU_Power Memory_Power Network_Power Offloading_Ratio CPU_Frequency_1 CPU_Frequency_0.5 CPU_Frequency_0.25 CPU_Frequency_0.125
0.1 CO-DMO-CT 2.57 .16 .51 1.50 .56 .70 17.70 21.20 26.20 34.90 
0.1 CO-DMO 2.43 .15 .45 1.40 .56 .71 16.10 20.10 29.00 34.80 
0.1 Offloading 4.24 .02 2.03 1.61 .59 .75 100.00 0 0 0 
0.1 DVS 3.60 .48 1.90 1.70 0 0 10.40 16.80 29.10 43.70 
0.1 Baseline 6.94 .09 5.24 1.69 0 0 100.00 0 0 0 
0.2 CO-DMO-CT 4.00 .36 .89 1.71 1.39 .73 13.30 22.10 27.80 36.80 
0.2 CO-DMO 3.89 .34 .87 1.64 1.36 .74 14.30 21.30 29.20 35.20 
0.2 Offloading 6.22 .03 2.78 1.89 1.54 .82 100.00 0 0 0 
0.2 DVS 6.28 1.00 4.73 1.54 0 0 8.10 22.80 39.10 30.00 
0.2 Baseline 12.45 .21 10.78 1.66 0 0 100.00 0 0 0 
0.3 CO-DMO-CT 5.44 .63 1.53 1.80 2.10 .71 14.80 18.50 29.00 37.70 
0.3 CO-DMO 4.59 .57 .99 1.39 2.21 .77 13.30 18.60 29.40 38.70 
0.3 Offloading 8.23 .05 3.60 2.22 2.41 .82 100.00 0 0 0 
0.3 DVS 12.00 1.00 9.79 2.20 0 0 18.80 37.70 37.40 6.10 
0.3 Baseline 18.52 .34 16.62 1.89 0 0 100.00 0 0 0 
0.4 CO-DMO-CT 6.05 .76 1.46 1.67 2.91 .76 12.50 18.40 24.20 44.90 
0.4 CO-DMO 7.00 .75 1.71 2.42 2.86 .74 14.70 16.70 28.30 40.30 
0.4 Offloading 10.10 .07 4.20 2.50 3.38 .84 100.00 0 0 0 
0.4 DVS 18.50 .99 15.51 2.98 0 0 34.70 40.20 23.00 2.10 
0.4 Baseline 23.64 .46 21.95 1.69 0 0 100.00 0 0 0 
0.5 CO-DMO-CT 8.50 .81 1.94 2.60 3.96 .78 10.90 25.50 27.30 36.30 
0.5 CO-DMO 7.72 .70 1.67 2.05 3.99 .81 16.50 21.00 29.00 33.50 
0.5 Offloading 11.58 .08 4.74 2.47 4.36 .86 100.00 0 0 0 
0.5 DVS 25.38 1.00 22.32 3.05 0 0 53.20 34.30 12.10 .40 
0.5 Baseline 29.88 .60 28.12 1.76 0 0 100.00 0 0 0 
0.6 CO-DMO-CT 9.89 .83 2.44 2.51 4.93 .79 17.30 23.80 29.10 29.80 
0.6 CO-DMO 9.91 .84 2.39 2.78 4.73 .79 17.80 22.30 28.80 31.10 
0.6 Offloading 13.33 .10 5.60 2.50 5.21 .85 100.00 0 0 0 
0.6 DVS 32.05 .99 28.71 3.33 0 0 68.00 25.80 6.10 .10 
0.6 Baseline 35.24 .72 33.31 1.92 0 0 100.00 0 0 0 
0.7 CO-DMO-CT 10.69 .88 2.53 2.28 5.86 .81 17.20 23.30 29.30 30.20 
0.7 CO-DMO 11.26 .83 2.57 2.85 5.84 .81 17.40 23.70 30.30 28.60 
0.7 Offloading 15.14 .12 6.52 2.52 6.09 .85 100.00 0 0 0 
0.7 DVS 39.72 .99 36.29 3.42 0 0 83.00 14.80 2.20 0 
0.7 Baseline 40.99 .85 39.36 1.63 0 0 100.00 0 0 0 
0.8 CO-DMO-CT 13.12 .87 3.51 2.75 6.85 .81 21.20 26.30 28.70 23.80 
0.8 CO-DMO 12.65 .84 3.35 2.71 6.57 .81 20.10 27.30 27.30 25.30 
0.8 Offloading 17.32 .13 7.13 3.12 7.06 .85 100.00 0 0 0 
0.8 DVS 45.90 .99 42.17 3.72 0 0 92.50 6.90 .60 0 
0.8 Baseline 46.72 .97 44.67 2.05 0 0 100.00 0 0 0 
0.9 CO-DMO-CT 19.61 .90 9.41 3.63 6.56 .70 42.00 26.00 22.00 10.00 
0.9 CO-DMO 17.54 .95 8.54 2.63 6.36 .71 44.00 30.00 14.00 12.00 
0.9 Offloading 19.96 .17 9.10 2.80 8.06 .84 100.00 0 0 0 
0.9 DVS 54.58 1.00 48.15 6.42 0 0 100.00 0 0 0 
0.9 Baseline 55.35 .99 48.44 6.90 0 0 100.00 0 0 0 
